hour,day_of_week,distance_km,base_fare,driver_supply,wait_time_mins,ride_completed,is_morning_peak,is_evening_peak,is_late_night,is_weekend,is_weekend_evening,hour_sin,hour_cos,dow_sin,dow_cos,weather_severity,is_rainy,is_heavy_rain,rain_x_peak,is_festival,festival_score,price_sensitivity,city_enc,weather_enc,special_event_enc,customer_segment_enc,surge_multiplier
16,6,19.2,12.58,17,20,1,0,0,0,1,0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,3,0,0,0,1,3,3,3,1,0,0,1.75
18,6,4.4,25.58,10,25,1,0,1,0,1,0,-1.0,-1.8369701987210297e-16,-0.7818314824680299,0.6234898018587334,5,1,1,1,1,3,3,3,2,0,0,2.17
21,6,1.0,31.84,28,19,1,0,1,0,1,1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,3,0,0,0,1,3,3,6,1,0,0,1.74
12,1,2.0,37.76,29,20,0,0,0,0,0,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,5,1,1,0,1,2,3,6,2,1,0,2.1
3,6,10.9,8.53,89,10,1,0,0,0,1,0,0.7071067811865476,0.7071067811865476,-0.7818314824680299,0.6234898018587334,3,0,0,0,1,3,3,5,1,0,0,1.83
8,6,1.0,36.89,47,15,1,1,0,0,1,0,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,5,1,1,1,1,2,3,6,2,2,0,1.55
17,3,1.8,15.66,10,22,1,0,0,0,0,0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,5,1,1,0,1,3,2,5,2,0,2,1.92
15,6,2.5,22.73,21,21,0,0,0,0,1,0,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,3,0,0,0,1,2,3,4,1,2,0,1.96
7,6,23.3,10.14,74,14,1,0,0,0,1,0,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,3,0,0,0,1,2,1,5,1,1,1,1.76
12,4,6.6,20.68,29,25,1,0,0,0,0,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,5,1,1,0,1,3,3,1,2,0,0,3.02
18,4,8.0,19.64,10,25,1,0,1,0,0,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,5,1,1,1,1,3,2,4,2,0,2,2.01
21,5,5.6,16.85,32,20,1,0,1,0,0,0,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,3,0,0,0,1,3,2,3,1,0,2,1.98
14,7,1.3,8.86,32,18,1,0,0,0,1,0,-0.4999999999999997,-0.8660254037844388,-2.4492935982947064e-16,1.0,4,1,0,0,0,0,3,0,5,3,0,1.41
1,6,4.5,26.06,71,12,1,0,0,1,1,0,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,3,0,0,0,1,2,3,7,1,2,0,1.9
1,3,1.0,29.38,72,9,1,0,0,1,0,0,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,4,1,0,0,0,0,3,3,5,3,0,1.27
16,4,1.5,20.33,28,19,1,0,0,0,0,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,3,0,0,0,1,2,2,7,1,2,2,1.62
14,7,15.1,35.41,23,19,1,0,0,0,1,0,-0.4999999999999997,-0.8660254037844388,-2.4492935982947064e-16,1.0,5,1,1,0,1,2,1,6,2,1,1,1.72
19,6,10.5,8.67,21,20,1,0,1,0,1,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,3,0,0,0,1,3,3,5,1,0,0,1.84
8,1,30.7,20.15,58,16,1,1,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,5,1,1,1,1,2,3,1,2,1,0,1.7
9,3,3.1,10.6,50,17,1,1,0,0,0,0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,5,1,1,1,1,2,1,4,2,1,1,1.88
17,2,9.5,14.33,10,24,1,0,0,0,0,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,5,1,1,0,1,2,1,5,2,2,1,2.33
19,2,1.0,22.93,28,16,1,0,1,0,0,0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,1,0,0,0,0,0,3,4,0,3,0,1.0
