ride_id,city,hour,day_of_week,weather,special_event,distance_km,base_fare,driver_supply,customer_segment,surge_multiplier,final_fare,ride_completed,wait_time_mins
IND_00001,Delhi,16,6,Dusty,Diwali,19.2,12.58,17,Budget,1.75,422.69,1,20
IND_00002,Delhi,18,6,Heavy_Rain,Diwali,4.4,25.58,10,Budget,2.17,244.24,1,25
IND_00003,Mumbai,21,6,Dusty,Diwali,1.0,31.84,28,Budget,1.74,55.4,1,19
IND_00004,Mumbai,12,1,Heavy_Rain,Eid,2.0,37.76,29,Budget,2.1,158.59,0,20
IND_00005,Kolkata,3,6,Dusty,Diwali,10.9,8.53,89,Budget,1.83,170.15,1,10
IND_00006,Mumbai,8,6,Heavy_Rain,Holi,1.0,36.89,47,Budget,1.55,57.18,1,15
IND_00007,Kolkata,17,3,Heavy_Rain,Diwali,1.8,15.66,10,Regular,1.92,54.12,1,22
IND_00008,Hyderabad,15,6,Dusty,Holi,2.5,22.73,21,Budget,1.96,111.38,0,21
IND_00009,Kolkata,7,6,Dusty,Eid,23.3,10.14,74,Premium,1.76,415.82,1,14
IND_00010,Bangalore,12,4,Heavy_Rain,Diwali,6.6,20.68,29,Budget,3.02,412.19,1,25
IND_00011,Hyderabad,18,4,Heavy_Rain,Diwali,8.0,19.64,10,Regular,2.01,315.81,1,25
IND_00012,Delhi,21,5,Dusty,Diwali,5.6,16.85,32,Regular,1.98,186.83,1,20
IND_00013,Ahmedabad,14,7,Light_Rain,Regular,1.3,8.86,32,Budget,1.41,16.24,1,18
IND_00014,Pune,1,6,Dusty,Holi,4.5,26.06,71,Budget,1.9,222.81,1,12
IND_00015,Delhi,1,3,Light_Rain,Regular,1.0,29.38,72,Budget,1.27,37.31,1,9
IND_00016,Pune,16,4,Dusty,Holi,1.5,20.33,28,Regular,1.62,49.4,1,19
IND_00017,Mumbai,14,7,Heavy_Rain,Eid,15.1,35.41,23,Premium,1.72,919.67,1,19
IND_00018,Kolkata,19,6,Dusty,Diwali,10.5,8.67,21,Budget,1.84,167.5,1,20
IND_00019,Bangalore,8,1,Heavy_Rain,Eid,30.7,20.15,58,Budget,1.7,1051.63,1,16
IND_00020,Hyderabad,9,3,Heavy_Rain,Eid,3.1,10.6,50,Premium,1.88,61.78,1,17
IND_00021,Kolkata,17,2,Heavy_Rain,Holi,9.5,14.33,10,Premium,2.33,317.19,1,24
IND_00022,Hyderabad,19,2,Clear,Regular,1.0,22.93,28,Budget,1.0,22.93,1,16
IND_00023,Bangalore,14,6,Dusty,Eid,3.0,12.57,31,Budget,2.32,87.49,1,22
IND_00024,Pune,15,4,Heavy_Rain,Eid,30.1,27.32,30,Budget,1.73,1422.63,0,20
IND_00025,Ahmedabad,16,1,Heavy_Rain,Diwali,6.6,8.57,32,Budget,2.21,125.0,1,22
IND_00026,Hyderabad,23,5,Light_Rain,Regular,1.2,8.12,45,Budget,1.43,13.93,1,14
IND_00027,Delhi,22,6,Dusty,Eid,1.6,23.83,43,Budget,2.44,93.03,0,21
IND_00028,Ahmedabad,16,2,Dusty,Holi,4.8,10.16,17,Budget,1.97,96.07,1,21
IND_00029,Kolkata,18,3,Dusty,Eid,1.4,13.35,10,Budget,2.27,42.43,1,26
IND_00030,Delhi,17,2,Dusty,Diwali,3.5,13.39,10,Budget,1.92,89.98,1,22
IND_00031,Bangalore,15,4,Dusty,Holi,1.3,18.44,12,Budget,1.87,44.83,0,21
IND_00032,Delhi,9,7,Light_Rain,Regular,2.7,13.16,41,Premium,1.35,47.97,1,15
IND_00033,Ahmedabad,10,1,Dusty,Diwali,5.4,13.26,30,Budget,2.41,172.57,1,20
IND_00034,Chennai,14,2,Dusty,Holi,1.1,23.75,32,Budget,1.5,39.19,1,18
IND_00035,Ahmedabad,9,4,Dusty,Diwali,1.0,9.01,52,Premium,1.57,14.15,1,16
IND_00036,Mumbai,11,2,Heavy_Rain,Diwali,3.1,37.44,37,Regular,2.09,242.57,1,20
IND_00037,Bangalore,14,5,Heavy_Rain,Diwali,4.7,11.14,17,Budget,2.08,108.9,1,21
IND_00038,Hyderabad,19,5,Light_Rain,Regular,1.0,14.86,14,Regular,1.48,21.99,1,18
IND_00039,Pune,23,6,Dusty,Holi,2.8,21.49,54,Budget,1.74,104.7,0,15
IND_00040,Pune,9,6,Humid,Regular,1.0,11.49,36,Budget,1.19,13.67,0,14
IND_00041,Delhi,18,4,Heavy_Rain,Eid,2.3,13.68,10,Budget,1.95,61.35,1,24
IND_00042,Hyderabad,1,7,Heavy_Rain,Holi,23.8,14.28,76,Regular,2.15,730.71,1,14
IND_00043,Mumbai,23,4,Dusty,Eid,3.2,35.04,48,Budget,2.0,224.26,0,16
IND_00044,Delhi,20,2,Heavy_Rain,Holi,30.1,29.08,25,Budget,1.73,1514.28,1,19
IND_00045,Hyderabad,2,5,Dusty,Eid,4.4,19.69,76,Budget,1.67,144.68,0,10
IND_00046,Pune,10,2,Light_Rain,Regular,1.9,24.76,34,Budget,1.23,57.86,1,15
IND_00047,Chennai,16,4,Dusty,Eid,13.7,10.75,31,Regular,2.03,298.97,0,21
IND_00048,Delhi,12,3,Heavy_Rain,Eid,2.6,33.74,32,Budget,2.04,178.96,1,20
IND_00049,Bangalore,18,5,Light_Rain,Regular,1.0,18.6,10,Budget,1.3,24.18,1,21
IND_00050,Hyderabad,21,3,Heavy_Rain,Holi,2.2,19.6,33,Regular,1.75,75.46,1,19
IND_00051,Bangalore,13,4,Light_Rain,Regular,1.4,28.52,21,Premium,1.37,54.7,1,17
IND_00052,Mumbai,14,5,Dusty,Holi,2.8,20.38,22,Regular,2.64,150.65,1,24
IND_00053,Delhi,13,5,Heavy_Rain,Holi,1.8,20.8,30,Budget,1.53,57.28,0,18
IND_00054,Hyderabad,1,6,Clear,Regular,1.0,11.79,75,Budget,1.18,13.91,1,9
IND_00055,Chennai,6,1,Hot,Regular,2.6,13.97,87,Regular,1.48,53.76,1,10
IND_00056,Mumbai,12,5,Dusty,Diwali,3.6,18.46,29,Regular,2.17,144.21,0,21
IND_00057,Pune,21,3,Dusty,Holi,3.5,15.57,36,Regular,1.83,99.73,1,19
IND_00058,Hyderabad,12,4,Dusty,Diwali,7.2,12.33,38,Regular,2.52,223.72,1,22
IND_00059,Hyderabad,20,3,Heavy_Rain,Eid,2.8,14.19,38,Premium,1.88,74.7,1,19
IND_00060,Delhi,19,3,Dusty,Eid,2.3,28.55,26,Budget,1.6,105.06,0,19
IND_00061,Chennai,9,2,Heavy_Rain,Holi,1.9,17.43,46,Regular,1.85,61.27,1,17
IND_00062,Bangalore,11,1,Dusty,Holi,6.5,22.31,21,Regular,1.85,268.28,1,19
IND_00063,Hyderabad,11,7,Dusty,Holi,2.7,15.31,27,Budget,2.01,83.09,1,20
IND_00064,Bangalore,22,3,Dusty,Eid,4.8,23.18,45,Regular,1.88,209.18,1,18
IND_00065,Hyderabad,21,3,Heavy_Rain,Diwali,3.7,19.44,21,Budget,1.68,120.84,0,18
IND_00066,Ahmedabad,7,4,Light_Rain,Regular,3.4,14.95,74,Budget,1.49,75.74,1,12
IND_00067,Pune,9,3,Heavy_Rain,Diwali,1.0,18.39,34,Regular,2.21,40.64,1,19
IND_00068,Delhi,19,5,Heavy_Rain,Diwali,1.8,29.9,29,Regular,1.65,88.8,1,19
IND_00069,Hyderabad,17,7,Heavy_Rain,Holi,1.8,23.6,15,Budget,1.93,81.99,1,22
IND_00070,Kolkata,18,7,Hot,Regular,1.1,21.25,10,Regular,1.48,34.6,1,22
IND_00071,Ahmedabad,20,4,Dusty,Holi,2.3,18.66,26,Budget,1.69,72.53,1,19
IND_00072,Chennai,16,4,Dusty,Eid,2.9,21.02,28,Budget,1.83,111.55,0,20
IND_00073,Chennai,17,3,Dusty,Holi,4.1,11.99,10,Premium,2.7,132.73,1,26
IND_00074,Hyderabad,12,1,Heavy_Rain,Eid,1.9,14.51,34,Budget,1.61,44.39,0,18
IND_00075,Ahmedabad,14,3,Heavy_Rain,Holi,2.1,12.41,33,Budget,1.91,49.78,1,20
IND_00076,Mumbai,15,4,Dusty,Holi,2.3,40.7,21,Budget,1.97,184.41,0,21
IND_00077,Pune,18,5,Hot,Regular,1.0,25.22,10,Regular,1.24,31.27,1,21
IND_00078,Hyderabad,16,1,Hot,Regular,1.0,16.3,14,Budget,1.36,22.17,1,18
IND_00079,Pune,20,4,Dusty,Diwali,15.4,22.76,36,Premium,1.84,644.93,0,19
IND_00080,Pune,17,1,Heavy_Rain,Diwali,2.0,20.25,10,Regular,1.81,73.31,1,22
IND_00081,Bangalore,7,2,Dusty,Holi,2.3,11.01,64,Budget,2.18,55.2,0,16
IND_00082,Pune,18,1,Dusty,Holi,3.5,14.29,10,Regular,2.04,102.03,0,25
IND_00083,Mumbai,18,7,Dusty,Diwali,32.4,45.0,10,Regular,1.62,2361.96,0,23
IND_00084,Mumbai,9,3,Heavy_Rain,Diwali,28.4,43.49,41,Regular,1.83,2260.26,1,17
