ride_id,city,hour,day_of_week,weather,special_event,distance_km,base_fare,surge_multiplier,final_fare,ride_completed,wait_time_mins,customer_segment
IND_0001,Delhi,0,6,Heavy_Rain,Holi,7.1,28.94,3.5,101.29,True,24,Regular
IND_0002,Mumbai,0,1,Light_Rain,Holi,13.6,15.8,3.2399999999999998,51.19,True,20,Budget
IND_0003,Chennai,0,7,Light_Rain,Regular,11.7,12.72,1.7999999999999998,22.9,False,11,Budget
IND_0004,Kolkata,19,3,Clear,Regular,12.6,8.87,1.5,13.3,False,11,Regular
IND_0005,Kolkata,18,2,Dusty,Diwali,3.1,10.42,2.7,28.13,True,21,Premium
IND_0006,Ahmedabad,20,7,Heavy_Rain,Holi,10.5,9.72,3.5,34.02,True,27,Budget
IND_0007,Hyderabad,5,4,Hot,Eid,24.8,18.88,1.8,33.98,True,15,Regular
IND_0008,Hyderabad,1,7,Heavy_Rain,Regular,8.2,11.59,3.5,40.56,True,23,Regular
IND_0009,Pune,20,4,Light_Rain,Eid,5.2,23.15,3.5,81.02,False,22,Premium
IND_0010,Hyderabad,4,5,Hot,Diwali,19.4,22.64,1.8,40.75,False,15,Budget
IND_0011,Pune,19,4,Humid,Eid,24.3,25.35,2.16,54.76,True,13,Premium
IND_0012,Kolkata,3,3,Hot,Holi,12.4,21.31,1.8,38.36,True,14,Regular
IND_0013,Delhi,20,3,Dusty,Regular,16.0,15.52,1.2,18.62,True,14,Regular
IND_0014,Mumbai,19,3,Hot,Diwali,4.6,25.89,2.7,69.9,False,16,Regular
IND_0015,Delhi,2,6,Hot,Regular,3.6,29.49,1.0,29.49,True,9,Regular
IND_0016,Chennai,16,7,Humid,Regular,24.2,23.79,1.0,23.79,True,8,Regular
IND_0017,Kolkata,14,5,Hot,Diwali,7.7,7.96,2.3400000000000003,18.63,False,12,Budget
IND_0018,Mumbai,7,1,Clear,Regular,9.6,30.42,1.0,30.42,True,7,Budget
IND_0019,Ahmedabad,7,7,Hot,Regular,11.4,8.23,1.1,9.05,True,9,Premium
IND_0020,Delhi,1,4,Dusty,Eid,20.4,14.51,2.7,39.18,False,15,Budget
IND_0021,Hyderabad,2,4,Humid,Diwali,3.2,24.99,1.8,44.98,True,16,Regular
IND_0022,Bangalore,13,4,Hot,Holi,21.9,28.05,2.3400000000000003,65.64,True,18,Budget
IND_0023,Ahmedabad,9,4,Dusty,Regular,24.9,14.22,1.5,21.33,True,11,Budget
IND_0024,Mumbai,18,6,Humid,Diwali,19.2,16.71,3.5,58.48,True,24,Regular
IND_0025,Mumbai,16,1,Light_Rain,Diwali,15.7,35.26,2.16,76.16,True,17,Regular
IND_0026,Mumbai,19,1,Hot,Regular,15.4,30.68,1.5,46.02,True,15,Budget
IND_0027,Pune,4,6,Dusty,Eid,12.5,26.65,1.8,47.97,False,13,Regular
IND_0028,Delhi,2,5,Light_Rain,Regular,8.1,33.46,1.2,40.15,True,9,Budget
IND_0029,Chennai,19,7,Dusty,Regular,2.2,21.89,1.5,32.84,True,10,Premium
IND_0030,Delhi,23,5,Light_Rain,Eid,8.5,16.84,3.5,58.94,False,20,Budget
IND_0031,Mumbai,2,6,Hot,Regular,8.4,15.11,1.0,15.11,True,7,Regular
IND_0032,Pune,17,1,Clear,Diwali,23.7,22.13,1.8,39.83,True,15,Regular
IND_0033,Bangalore,13,2,Clear,Eid,10.4,28.66,1.8,51.59,False,10,Budget
IND_0034,Pune,19,6,Light_Rain,Holi,21.9,27.55,2.592,71.41,True,14,Regular
IND_0035,Kolkata,13,7,Dusty,Regular,18.9,10.72,1.0,10.72,True,6,Premium
IND_0036,Hyderabad,6,7,Hot,Eid,9.0,21.52,1.8,38.74,False,13,Budget
IND_0037,Delhi,8,3,Dusty,Regular,11.2,34.57,1.5,51.86,True,9,Premium
IND_0038,Chennai,1,1,Humid,Regular,10.0,21.37,2.0,42.74,True,13,Budget
IND_0039,Chennai,1,6,Hot,Diwali,14.0,21.71,3.5,75.98,True,21,Regular
IND_0040,Kolkata,13,1,Dusty,Eid,16.3,16.95,1.8,30.51,True,11,Budget
IND_0041,Pune,22,3,Humid,Holi,6.4,21.63,3.5,75.7,True,22,Regular
