ride_id,city,hour,day_of_week,weather,special_event,distance_km,base_fare,surge_multiplier,final_fare,ride_completed,wait_time_mins,customer_segment,real_temperature,real_humidity,real_aqi,monsoon_factor,festival_impact_score,real_traffic_index,is_peak_hour,is_weekend,is_late_night,weather_severity,city_encoded,segment_encoded,weather_encoded,revenue_per_request,churn_risk,ola_surge,price_difference_pct,switching_probability,market_share_risk
IND_0002,Mumbai,0,1,Light_Rain,Holi,13.6,15.8,3.24,51.19,True,20,Budget,24.324265316189766,79.05485647469239,270.127415879242,1.5,1.8,0.8091771207528854,False,False,True,4,2,0,5,51.19,0,2.59,25.0,0.8,0.24
IND_0003,Chennai,0,7,Light_Rain,Regular,11.7,12.72,1.7999999999999998,22.9,False,11,Budget,24.855167875637992,69.30332802801894,203.08114619674927,1.0,1.0,0.4738981357004075,False,True,True,4,1,0,5,0.0,0,1.62,11.1,0.6,0.18
IND_0009,Pune,20,4,Light_Rain,Eid,5.2,23.15,3.5,81.02,False,22,Premium,23.171220723627748,95.64335373873952,134.3356474433224,1.5,1.7,0.5298638671396247,True,False,False,4,3,1,5,0.0,1,2.8,25.0,0.2,0.06
IND_0011,Pune,19,4,Humid,Eid,24.3,25.35,2.16,54.76,True,13,Premium,22.191614173084158,93.19536591302915,126.9623898499259,1.5,1.7,0.6433841028238518,True,False,False,2,3,1,4,54.76,0,1.73,25.0,0.2,0.06
IND_0014,Mumbai,19,3,Hot,Diwali,4.6,25.89,2.7,69.9,False,16,Regular,24.117561892681277,88.02686242170948,254.29741898848758,1.5,2.0,1.0,True,False,False,2,2,2,3,0.0,1,2.38,13.6,0.375,0.11249999999999999
IND_0016,Chennai,16,7,Humid,Regular,24.2,23.79,1.0,23.79,True,8,Regular,30.94298414031311,73.3088849975948,130.67821176935024,1.0,1.0,0.5242359594907857,False,True,False,2,1,2,4,23.79,0,0.95,5.3,0.3,0.09
IND_0018,Mumbai,7,1,Clear,Regular,9.6,30.42,1.0,30.42,True,7,Budget,23.792621495112495,90.05741558226192,243.13101220444312,1.5,1.0,0.6187495501749651,False,False,False,1,2,0,0,30.42,0,0.95,5.3,0.48,0.144
IND_0022,Bangalore,13,4,Hot,Holi,21.9,28.05,2.3400000000000003,65.64,True,18,Budget,18.302625579373668,96.5471554825785,301.53162569204363,1.5,1.8,0.48981593555235703,False,False,False,2,0,0,3,65.64,0,2.06,13.6,0.6,0.18
IND_0024,Mumbai,18,6,Humid,Diwali,19.2,16.71,3.5,58.48,True,24,Regular,24.109696223311623,77.5353367007844,335.72499063367553,1.5,2.0,1.0,True,True,False,2,2,2,4,58.48,0,2.8,25.0,0.5,0.15
IND_0025,Mumbai,16,1,Light_Rain,Diwali,15.7,35.26,2.16,76.16,True,17,Regular,24.272836678859846,85.49555634675679,326.74653473830557,1.5,2.0,0.6701633821421666,False,False,False,4,2,2,5,76.16,0,1.73,25.0,0.5,0.15
IND_0026,Mumbai,19,1,Hot,Regular,15.4,30.68,1.5,46.02,True,15,Budget,24.917850904573424,81.41934752577939,338.2872872235201,1.5,1.0,1.0,True,False,False,2,2,0,3,46.02,0,1.57,-4.3,0.4,0.12
IND_0027,Pune,4,6,Dusty,Eid,12.5,26.65,1.8,47.97,False,13,Regular,20.576248340034287,92.46481696464663,122.55042697237329,1.5,1.7,0.39236946971278264,False,True,False,3,3,2,1,0.0,0,1.53,17.6,0.375,0.11249999999999999
IND_0029,Chennai,19,7,Dusty,Regular,2.2,21.89,1.5,32.84,True,10,Premium,30.193980300244302,68.4324496184571,159.35397495807302,1.0,1.0,0.8118953863834747,True,True,False,3,1,1,1,32.84,0,1.42,5.3,0.12,0.036
IND_0031,Mumbai,2,6,Hot,Regular,8.4,15.11,1.0,15.11,True,7,Regular,28.03937272854894,86.65207585862191,319.01421100433237,1.5,1.0,0.8228217315807503,False,True,False,2,2,2,3,15.11,0,1.04,-4.3,0.25,0.075
IND_0032,Pune,17,1,Clear,Diwali,23.7,22.13,1.8,39.83,True,15,Regular,18.56942862225761,76.54337880454752,97.21546913125546,1.5,2.0,0.4273054757108227,False,False,False,1,3,2,0,39.83,0,1.53,17.6,0.375,0.11249999999999999
IND_0033,Bangalore,13,2,Clear,Eid,10.4,28.66,1.8,51.59,False,10,Budget,19.491593359512812,89.73335728223076,274.5882100272776,1.5,1.7,0.6775204794944384,False,False,False,1,0,0,0,0.0,0,1.44,25.0,0.8,0.24
IND_0034,Pune,19,6,Light_Rain,Holi,21.9,27.55,2.592,71.41,True,14,Regular,19.775237347024483,91.28040784596048,144.06710459478876,1.5,1.8,0.48845026501755123,True,True,False,4,3,2,5,71.41,0,2.07,25.0,0.5,0.15
IND_0038,Chennai,1,1,Humid,Regular,10.0,21.37,2.0,42.74,True,13,Budget,29.9339534608943,72.47443742753224,154.17034708275864,1.0,1.0,0.5329313598416958,False,False,True,2,1,0,4,42.74,0,1.8,11.1,0.6,0.18
IND_0039,Chennai,1,6,Hot,Diwali,14.0,21.71,3.5,75.98,True,21,Regular,26.405191796774172,63.94443418429494,227.74214042716517,1.0,2.0,0.4504112164735664,False,True,True,2,1,2,3,75.98,0,3.08,13.6,0.375,0.11249999999999999
IND_0041,Pune,22,3,Humid,Holi,6.4,21.63,3.5,75.7,True,22,Regular,22.697047577658815,87.44401104929372,124.50733689080889,1.5,1.8,0.39490111771939707,False,False,True,2,3,2,4,75.7,0,2.8,25.0,0.5,0.15
IND_0042,Chennai,12,5,Clear,Eid,8.6,15.31,1.8,27.56,True,12,Budget,28.80126915883437,63.08288136661365,168.79883983274914,1.0,1.7,0.5321019901333833,False,False,False,1,1,0,0,27.56,0,1.62,11.1,0.6,0.18
IND_0043,Bangalore,21,1,Heavy_Rain,Regular,17.3,22.39,1.7999999999999998,40.3,True,19,Regular,17.821899715946927,83.82022631050302,249.52773911759996,1.5,1.0,0.5334879535396763,False,False,False,5,0,2,2,40.3,0,1.58,13.6,0.375,0.11249999999999999
IND_0045,Pune,15,4,Light_Rain,Holi,17.1,9.11,2.16,19.68,True,11,Regular,20.837439456182658,88.70205207203746,129.55588810404754,1.5,1.8,0.4634894357703558,False,False,False,4,3,2,5,19.68,0,1.73,25.0,0.5,0.15
IND_0048,Chennai,7,7,Dusty,Eid,19.6,16.86,1.8,30.35,False,9,Budget,26.744046097368088,65.49085155339915,213.17101567945508,1.0,1.7,0.5308358442973771,False,True,False,3,1,0,1,0.0,0,1.62,11.1,0.6,0.18
IND_0050,Pune,1,2,Hot,Regular,22.8,20.1,2.5,50.25,False,18,Regular,19.744669185194997,82.33503501791303,111.2742211070487,1.5,1.0,0.41074399163456604,False,False,True,2,3,2,3,0.0,1,2.2,13.6,0.375,0.11249999999999999
IND_0053,Mumbai,12,5,Humid,Regular,2.6,34.28,1.0,34.28,True,6,Budget,23.78961739981697,89.18413830199971,203.585133160536,1.5,1.0,0.6350164839292896,False,False,False,2,2,0,4,34.28,0,0.95,5.3,0.48,0.144
